"basin","assigned_length_bin","median_assigned_upstream_length_km","assumed_cv","n_simulations","n_values","q25_absolute_change","median_absolute_change","q75_absolute_change"
"Kuskokwim",1,0.326584477050822,0.25,250,1500,11.2895757515601,23.7933009655691,39.1263765401889
"Kuskokwim",2,1.00767817026964,0.25,250,1500,9.9865163526867,21.9339776089421,37.7531317755933
"Kuskokwim",3,2.33251562947534,0.25,250,6750,9.54846327900845,20.5898611891677,34.7828466610854
"Kuskokwim",4,6.45894504345515,0.25,250,15500,8.6912700311724,18.6500096853459,32.6835137186333
"Kuskokwim",5,16.5927721544135,0.25,250,28500,6.59298167951672,14.2643759934506,25.1214307441798
"Kuskokwim",6,37.3053283103809,0.25,250,27000,4.94344744279966,10.6261298408106,18.7409491866543
"Kuskokwim",7,85.5165773745275,0.25,250,14000,3.48922768847216,7.64085478048608,13.4016822074774
"Kuskokwim",8,225.300169894317,0.25,250,7000,2.12856822611111,4.42749753416434,7.75628624513542
"Kuskokwim",9,637.574169682745,0.25,250,3750,1.29803699524875,2.81731358378089,4.75793366015477
"Kuskokwim",10,1381.59497300398,0.25,250,1250,0.78731687998573,1.76351078360627,3.26529387045338
"Kuskokwim",12,16749.6465141512,0.25,250,500,4.44089209850063e-14,8.48302825117084e-05,0.115875133143561
"Kuskokwim",1,0.326584477050822,1,250,1500,36.3468659454107,73.8116094504151,114.429866821264
"Kuskokwim",2,1.00767817026964,1,250,1500,36.805054566675,77.3431449955685,120.092965642363
"Kuskokwim",3,2.33251562947534,1,250,6750,31.7915370354306,65.4072418167038,107.140961811239
"Kuskokwim",4,6.45894504345515,1,250,15500,30.0582420712201,61.7378101321517,100.22918090884
"Kuskokwim",5,16.5927721544135,1,250,28500,23.2377763920913,49.2483037355288,83.3218901261141
"Kuskokwim",6,37.3053283103809,1,250,27000,17.1879590209213,36.9130958397294,63.8770352546105
"Kuskokwim",7,85.5165773745275,1,250,14000,12.8714745951096,27.3013280947628,47.9724031118838
"Kuskokwim",8,225.300169894317,1,250,7000,8.32686740277415,17.1349526879232,29.6031199823019
"Kuskokwim",9,637.574169682745,1,250,3750,5.08699212953681,10.5678976853813,18.5506209605607
"Kuskokwim",10,1381.59497300398,1,250,1250,3.47217704007415,7.33339657210203,12.9834090776512
"Kuskokwim",12,16749.6465141512,1,250,500,4.44089209850063e-14,0.000768619409306797,0.404717640213818
"Yukon",1,0.0505080562005646,0.25,250,750,10.6969720798046,22.7592419040686,38.9135366157743
"Yukon",2,0.281905533557043,0.25,250,2250,10.5440016966937,22.8086352776725,40.2578848920477
"Yukon",3,0.817730897682122,0.25,250,11250,11.0977961029907,23.3423015507837,39.221589219024
"Yukon",4,2.86572383139103,0.25,250,62250,10.7610113243794,22.9024195608718,38.7835349372422
"Yukon",5,9.39336979232967,0.25,250,219000,9.73546789209033,20.7447665387926,35.6566142210471
"Yukon",6,26.5870318657902,0.25,250,248750,7.30045648400949,15.7504081129036,27.7711355795141
"Yukon",7,84.4658639424707,0.25,250,117500,4.57827593881897,9.92096661307581,17.6578484100393
"Yukon",8,283.594483423004,0.25,250,42500,2.56587061423546,5.55906849519398,9.8013090801459
"Yukon",9,974.678732751638,0.25,250,11250,1.30767078844848,2.8635161681002,5.1679602695804
"Yukon",10,3249.82241923246,0.25,250,2750,0.735205332902341,1.56755293916228,2.65237539077032
"Yukon",11,10420.4532561578,0.25,250,1000,0.458718873746542,0.922365725221353,1.52293352790768
"Yukon",12,93761.4309151278,0.25,250,250,2.22044604925031e-14,4.44089209850063e-14,7.7715611723761e-14
"Yukon",1,0.0505080562005646,1,250,750,41.7981113202165,79.0027429366433,118.750956511934
"Yukon",2,0.281905533557043,1,250,2250,35.5167737079645,72.7804454372763,115.177220815499
"Yukon",3,0.817730897682122,1,250,11250,37.2648728005628,75.5946404386399,118.552190784397
"Yukon",4,2.86572383139103,1,250,62250,36.2449274756912,74.3220128947,116.779666518457
"Yukon",5,9.39336979232967,1,250,219000,32.7188263700782,67.5681588470751,108.608985866917
"Yukon",6,26.5870318657902,1,250,248750,25.2223140993171,53.2390467351911,89.4687714452272
"Yukon",7,84.4658639424707,1,250,117500,16.5600328469968,35.2983126704765,61.1506805180738
"Yukon",8,283.594483423004,1,250,42500,9.75007454617567,20.8136527751754,36.1489012635363
"Yukon",9,974.678732751638,1,250,11250,5.30101568450406,11.2961314747222,19.997920967734
"Yukon",10,3249.82241923246,1,250,2750,2.87507878159704,6.08751873444961,10.7644633751954
"Yukon",11,10420.4532561578,1,250,1000,1.79278378870879,3.65233998862464,6.17266864485577
"Yukon",12,93761.4309151278,1,250,250,2.22044604925031e-14,4.44089209850063e-14,7.7715611723761e-14
