reachid,down_reachid,strahler,n_upstream,is_outlet,component
1,4,3,0,0,0
2,4,3,0,0,0
3,9,3,0,0,0
4,9,4,2,0,0
5,13,3,0,0,0
6,19,3,0,0,0
7,20,3,0,0,0
8,18,3,0,0,0
9,38,4,4,0,0
10,20,3,0,0,0
11,16,3,0,0,0
12,13,3,0,0,0
13,22,4,2,0,0
14,33,3,0,0,0
15,16,3,0,0,0
16,19,4,2,0,0
17,18,3,0,0,0
18,23,4,2,0,0
19,24,4,4,0,0
20,22,4,2,0,0
21,23,3,0,0,0
22,37,5,6,0,0
23,47,4,4,0,0
24,32,4,6,0,0
25,24,3,0,0,0
26,45,3,0,0,0
27,70,3,0,0,0
28,39,3,0,0,0
29,32,3,0,0,0
30,64,3,0,0,0
31,37,3,0,0,0
32,34,4,8,0,0
33,38,4,2,0,0
34,43,4,10,0,0
35,34,3,0,0,0
36,49,3,0,0,0
37,62,5,8,0,0
38,39,5,8,0,0
39,64,5,10,0,0
40,33,3,0,0,0
41,68,3,0,0,0
42,51,3,0,0,0
43,45,4,12,0,0
44,49,3,0,0,0
45,51,4,14,0,0
46,43,3,0,0,0
47,66,4,6,0,0
48,60,3,0,0,0
49,122,4,2,0,0
50,55,3,0,0,0
51,55,4,16,0,0
52,47,3,0,0,0
53,56,3,0,0,0
54,82,3,0,0,0
55,56,4,18,0,0
56,57,4,20,0,0
57,61,4,22,0,0
58,81,3,0,0,0
59,57,3,0,0,0
60,61,5,12,0,0
61,63,5,36,0,0
62,60,5,10,0,0
63,107,5,38,0,0
64,66,5,12,0,0
65,71,3,0,0,0
66,71,5,20,0,0
67,83,4,4,0,0
68,67,4,2,0,0
69,70,3,0,0,0
70,86,4,2,0,0
71,102,5,22,0,0
72,68,3,0,0,0
73,63,3,0,0,0
74,82,3,0,0,0
75,62,3,0,0,0
76,67,3,0,0,0
77,83,3,0,0,0
78,102,3,0,0,0
79,80,3,0,0,0
80,81,4,2,0,0
81,93,4,4,0,0
82,85,4,2,0,0
83,96,4,6,0,0
84,80,3,0,0,0
85,86,4,4,0,0
86,93,5,8,0,0
87,85,3,0,0,0
88,96,3,0,0,0
89,106,3,0,0,0
90,101,3,0,0,0
91,100,3,0,0,0
92,94,3,0,0,0
93,94,5,14,0,0
94,100,5,16,0,0
95,109,3,0,0,0
96,101,4,8,0,0
97,127,3,0,0,0
98,122,3,0,0,0
99,116,3,0,0,0
100,105,5,18,0,0
101,113,4,10,0,0
102,104,5,24,0,0
103,128,3,0,0,0
104,127,5,26,0,0
105,106,5,20,0,0
106,116,5,22,0,0
107,136,5,40,0,0
108,107,3,0,0,0
109,113,4,2,0,0
110,119,3,0,0,0
111,109,3,0,0,0
112,104,3,0,0,0
113,124,5,14,0,0
114,105,3,0,0,0
115,119,3,0,0,0
116,130,5,24,0,0
117,121,3,0,0,0
118,142,3,0,0,0
119,129,4,2,0,0
120,121,3,0,0,0
121,132,4,2,0,0
122,131,4,4,0,0
123,129,3,0,0,0
124,130,5,16,0,0
125,143,3,0,0,0
126,149,5,14,0,0
127,128,5,28,0,0
128,131,5,30,0,0
129,144,4,4,0,0
130,151,6,42,0,0
131,149,5,36,0,0
132,143,4,4,0,0
133,132,3,0,0,0
134,137,3,0,0,0
135,138,3,0,0,0
136,160,5,42,0,0
137,126,4,10,0,0
138,197,4,2,0,0
139,136,3,0,0,0
140,142,3,0,0,0
141,183,3,0,0,0
142,144,4,2,0,0
143,198,4,6,0,0
144,159,5,8,0,0
145,258,3,0,0,0
146,126,4,2,0,0
147,151,3,0,0,0
148,202,3,0,0,0
