fish.id,nat_start,nat_end,natal_iso_mean,natal_iso_sd,num_microns,otoNum,capture_date,capture_date_julian,file.id
2017_yk_001,NA,NA,0.72731641,NA,NA,1,6/4/17,155,2017_yukon_king_yk001.exp
2017_yk_002,NA,NA,0.7244567,NA,NA,2,6/5/17,156,2017_yukon_king_yk002.exp
2017_yk_003,NA,NA,0.71375692,NA,NA,3,6/5/17,156,2017_yukon_king_yk003.exp
2017_yk_005,NA,NA,0.71277333,NA,NA,5,6/6/17,157,2017_yukon_king_yk005.exp
2017_yk_006,NA,NA,0.72232785,NA,NA,6,6/6/17,157,2017_yukon_king_yk006.exp
2017_yk_007,NA,NA,0.71621541,NA,NA,7,6/6/17,157,2017_yukon_king_yk007.exp
2017_yk_008,NA,NA,0.72154551,NA,NA,8,6/6/17,157,2017_yukon_king_yk008.exp
2017_yk_011,NA,NA,0.7164715,NA,NA,11,6/6/17,157,2017_yukon_king_yk011.exp
2017_yk_012,NA,NA,0.71210872,NA,NA,12,6/6/17,157,2017_yukon_king_yk012.exp
2017_yk_014,NA,NA,0.70654604,NA,NA,14,6/7/17,158,2017_yukon_king_yk014.exp
2017_yk_015,NA,NA,0.72382452,NA,NA,15,6/7/17,158,2017_yukon_king_yk015.exp
2017_yk_016,NA,NA,0.72496454,NA,NA,16,6/8/17,159,2017_yukon_king_yk016.exp
2017_yk_018,NA,NA,0.71585317,NA,NA,18,6/8/17,159,2017_yukon_king_yk018.exp
2017_yk_019,NA,NA,0.71434916,NA,NA,19,6/9/17,160,2017_yukon_king_yk019.exp
2017_yk_022,NA,NA,0.71247727,NA,NA,22,6/10/17,161,2017_yukon_king_yk022.exp
2017_yk_023,NA,NA,0.72223917,NA,NA,23,6/10/17,161,2017_yukon_king_yk023.exp
2017_yk_024,NA,NA,0.71744959,NA,NA,24,6/10/17,161,2017_yukon_king_yk024.exp
2017_yk_025,NA,NA,0.73177089,NA,NA,25,6/10/17,161,2017_yukon_king_yk025.exp
2017_yk_027,NA,NA,0.70772695,NA,NA,27,6/10/17,161,2017_yukon_king_yk027.exp
2017_yk_029,NA,NA,0.72203664,NA,NA,29,6/11/17,162,2017_yukon_king_yk029.exp
2017_yk_030,NA,NA,0.73182287,NA,NA,30,6/11/17,162,2017_yukon_king_yk030.exp
2017_yk_033,NA,NA,0.7232393,NA,NA,33,6/11/17,162,2017_yukon_king_yk033.exp
2017_yk_034,NA,NA,0.73402287,NA,NA,34,6/11/17,162,2017_yukon_king_yk034.exp
2017_yk_035,NA,NA,0.72351753,NA,NA,35,6/11/17,162,2017_yukon_king_yk035.exp
2017_yk_036,NA,NA,0.71867135,NA,NA,36,6/11/17,162,2017_yukon_king_yk036.exp
2017_yk_038,NA,NA,0.73938416,NA,NA,38,6/12/17,163,2017_yukon_king_yk038.exp
2017_yk_039,NA,NA,0.7143586,NA,NA,39,6/12/17,163,2017_yukon_king_yk039.exp
2017_yk_041,NA,NA,0.71609667,NA,NA,41,6/12/17,163,2017_yukon_king_yk041.exp
2017_yk_042,NA,NA,0.71568593,NA,NA,42,6/12/17,163,2017_yukon_king_yk042.exp
2017_yk_043,NA,NA,0.71722003,NA,NA,43,6/12/17,163,2017_yukon_king_yk043.exp
2017_yk_044,NA,NA,0.71762259,NA,NA,44,6/12/17,163,2017_yukon_king_yk044.exp
2017_yk_045,NA,NA,0.72151887,NA,NA,45,6/12/17,163,2017_yukon_king_yk045.exp
2017_yk_047,NA,NA,0.71203194,NA,NA,47,6/13/17,164,2017_yukon_king_yk047.exp
2017_yk_049,NA,NA,0.72190247,NA,NA,49,6/13/17,164,2017_yukon_king_yk049.exp
2017_yk_050,NA,NA,0.72317018,NA,NA,50,6/13/17,164,2017_yukon_king_yk050.exp
2017_yk_052,NA,NA,0.71202646,NA,NA,52,6/14/17,165,2017_yukon_king_yk052.exp
2017_yk_053,NA,NA,0.72426979,NA,NA,53,6/14/17,165,2017_yukon_king_yk053.exp
2017_yk_055,NA,NA,0.72576766,NA,NA,55,6/16/17,167,2017_yukon_king_yk055.exp
