Sample_Date,Tide,Sample_#,UW_ID,Scale_Card#,Gen_ID,Sex,"Length (mideye-FL, mm)",Mesh Size (in),Genetics?,Otoliths?,Notes,Genetics sampling notes
2017-06-04,PM,1,1,1,20915,M,789,8,Y,Y,"Frozen, sampled at ADF&G",No NaCl
2017-06-07,AM,1,2,4,20823,F,840,5.375,Y,Y,Frozen fish,No NaCl
2017-06-07,PM,1,3,5,20835,M,546,5.375,Y,Y,Sampled on boat,No NaCl
2017-06-09,AM,1,4,2,20854,M,727,8,Y,Y,Sampled at ADF&G,NaCl on top of fin beneath black paper
2017-06-10,AM,1,5,3,20775,M,729,8,Y,Y,Sampled at ADF&G,NaCl on top of fins beneath black paper
2017-06-10,AM,2,6,3,20775,M,756,8,Y,Y,Sampled at ADF&G,NaCl on top of fins beneath black paper
2017-06-11,AM,1,7,4,20908,F,760,8,Y,Y,Sampled at ADF&G,NaCl on top of fins beneath black paper
2017-06-11,AM,1,8,6,20779,M,551,5.375,Y,Y,Sampled at ADF&G,NaCl on top of fins beneath black paper
2017-06-11,AM,2,9,6,20779,M,568,5.375,Y,Y,Sampled at ADF&G,NaCl on top of fins beneath black paper
2017-06-12,PM,1,10,6,20763,M,757,8,Y,Y,Sampled on boat,NaCl on top of fins beneath black paper
2017-06-12,PM,2,11,6,20763,M,808,8,Y,Y,Sampled on boat,NaCl on top of fins beneath black paper
2017-06-11,PM,1,12,5,20781,F,911,8,Y,Y,"Frozen, sampled at ADF&G",NaCl on top of fins beneath black paper
2017-06-13,PM,1,13,7,20776,M,820,8,Y,Y,Sampled on boat,"NaCl directly beneath fin, on genetics card"
2017-06-13,AM,1,14,7,20759,M,778,5.375,Y,Y,Sampled at ADF&G,All samples preserved with above method from here on out
2017-06-14,PM,1,15,8,20772,M,730,8,Y,Y,Sampled at ADF&G,All samples preserved with above method from here on out
2017-06-14,AM,1,16,8,20771,M,598,5.375,Y,Y,Sampled at ADF&G,All samples preserved with above method from here on out
2017-06-14,AM,2,17,8,20771,M,725,5.375,Y,Y,Sampled at ADF&G,All samples preserved with above method from here on out
2017-06-15,PM,1,18,9,20764,F,848,8,Y,Y,Sampled at ADF&G,
2017-06-15,PM,2,19,9,20764,F,756,8,Y,Y,Sampled at ADF&G,
2017-06-15,PM,1,20,9,20757,M,587,5.375,Y,Y,Sampled at ADF&G,
2017-06-15,PM,2,21,9,20757,M,557,5.375,Y,Y,Sampled at ADF&G,
2017-06-15,AM,1,22,10,20768,M,784,5.375,Y,Y,Sampled at ADF&G,
2017-06-15,AM,2,23,10,20768,M,555,5.375,Y,Y,Sampled at ADF&G,
